Week of 2012-05-14 to 2012-05-20
Aaron achieved 21.5 minutes on Motel with Domino, FLUX, guyguy (PB!)
beatslaughter achieved 27.0 minutes on Truck Depot with guyguy, ptrance, Snookray (PB!)
OK achieved 39.0 minutes on Boathouse with Linnear, maniak, NicNak (PB!)
Week of 2012-05-21 to 2012-05-27
Aaron achieved 33.5 minutes on Sugar Mill with aTastyCookie, guyguy, sauce (PB!)
aTastyCookie achieved 33.5 minutes on Sugar Mill with Aaron, guyguy, sauce (PB!)
aTastyCookie achieved 17.0 minutes on Bus Depot with guyguy, Licksore, Wolf (PB!)
aTastyCookie achieved 15.0 minutes on Traincar with Gaius, guyguy, sauce (PB!)
beatslaughter achieved 34.0 minutes on Lighthouse with El Tounsie, ptrance, Snookray (PB!)
Biggie MX achieved 70.0 minutes on Gas Station with guyguy, Licksore, notallthatfat (PB!)
Biggie MX achieved 19.0 minutes on Lighthouse with Kev, Licksore, notallthatfat (PB!)
Dipity achieved 28.0 minutes on Bridge (CC) with guyguy, Licksore, notallthatfat (PB!)
Domino achieved 32.5 minutes on Plantation with FLUX, guyguy, Taxi
Dr. Tran achieved 22.0 minutes on Truck Depot with guyguy, notallthatfat, OK (PB!)
Gaius achieved 49.5 minutes on Boathouse with maniak, Stud Fox, wilson2234 (PB!)
Gaius achieved 19.5 minutes on Mall Atrium with aTastyCookie, guyguy, sauce (PB!)
Gaius achieved 15.0 minutes on Traincar with aTastyCookie, guyguy, sauce (PB!)
guyguy achieved 32.5 minutes on Plantation with Domino, FLUX, Taxi (PB!)
Licksore achieved 19.0 minutes on Underground with Domino, guyguy, sauce (PB!)
Licksore achieved 52.5 minutes on Gator Village with Domino, guyguy, sauce (PB!)
Licksore achieved 17.0 minutes on Bus Depot with aTastyCookie, guyguy, Wolf (PB!)
Licksore achieved 18.0 minutes on Port (S) with guyguy, Kev, sauce (PB!)
notallthatfat achieved 70.0 minutes on Gas Station with Biggie MX, guyguy, Licksore (PB!)
notallthatfat achieved 28.0 minutes on Bridge (CC) with Dipity, guyguy, Licksore (PB!)
notallthatfat achieved 22.0 minutes on Truck Depot with Dr. Tran, guyguy, OK (PB!)
notallthatfat achieved 19.0 minutes on Lighthouse with Biggie MX, Kev, Licksore (PB!)
Taxi achieved 32.5 minutes on Plantation with Domino, FLUX, guyguy (PB!)
Toshly achieved 51.0 minutes on Traincar with Karl, kris, OSwald BB (PB!)
Week of 2012-05-28 to 2012-06-03
aTastyCookie achieved 31.5 minutes on Riverbank with guyguy, Taxi, Toshly (PB!)
aTastyCookie achieved 25.5 minutes on Plantation with FLUX, guyguy, Licksore (PB!)
beatslaughter achieved 42.5 minutes on Hospital with Niko Bellic, Vetinari (PB!)
beatslaughter achieved 79.5 minutes on Warehouse with El Tounsie, RAPTOR, Snookray (PB!)
