Week of 2012-04-23 to 2012-04-29
beatslaughter achieved 38.0 minutes on Boathouse with CioL_, El Tounsie, guyguy (PB!)
beatslaughter achieved 31.5 minutes on Runway with El Tounsie, Psy, Snookray (PB!)
beatslaughter achieved 32.5 minutes on Bridge (BH) with guyguy, Kev, Toshly (PB!)
beatslaughter achieved 63.0 minutes on Port with El Tounsie, Psy, Snookray (PB!)
Chewbacca achieved 20.0 minutes on Drains with Dipity, Fatty, guyguy (PB!)
Dipity achieved 20.0 minutes on Drains with Chewbacca, Fatty, guyguy (PB!)
Dipity achieved 18.0 minutes on Runway with bim, guyguy, itguy67 (PB!)
Fatty achieved 20.0 minutes on Drains with Chewbacca, Dipity, guyguy (PB!)
guyguy achieved 53.5 minutes on Boathouse with Kev, Licksore, Thal (PB!)
guyguy achieved 76.0 minutes on Terminal with Kev, Licksore, Wolf (PB!)
guyguy achieved 38.0 minutes on Runway with Kev, Thal, Wolf (PB!)
itguy67 achieved 18.0 minutes on Runway with bim, Dipity, guyguy (PB!)
Kev achieved 53.5 minutes on Boathouse with guyguy, Licksore, Thal (PB!)
Kev achieved 76.0 minutes on Terminal with guyguy, Licksore, Wolf (PB!)
Kev achieved 38.0 minutes on Runway with guyguy, Thal, Wolf (PB!)
Kev achieved 87.0 minutes on Mall Atrium with Karl, kris, Rode (PB!)
Licksore achieved 53.5 minutes on Boathouse with guyguy, Kev, Thal
Licksore achieved 76.0 minutes on Terminal with guyguy, Kev, Wolf (PB!)
Licksore achieved 37.5 minutes on Runway with guyguy, Kev, Thal (PB!)
mistabiswas achieved 52.5 minutes on Generator Room with accident, Bud Fox, maniak (PB!)
OK achieved 34.0 minutes on Hospital with Jackson, KillerMiller, L.v (PB!)
OK achieved 93.0 minutes on Street with Jackson, KillerMiller, L.v (PB!)
Thal achieved 53.5 minutes on Boathouse with guyguy, Kev, Licksore (PB!)
Thal achieved 38.0 minutes on Runway with guyguy, Kev, Wolf (PB!)
Wolf achieved 76.0 minutes on Terminal with guyguy, Kev, Licksore (PB!)
Wolf achieved 38.0 minutes on Runway with guyguy, Kev, Thal (PB!)
Week of 2012-04-30 to 2012-05-06
Aaron achieved 17.5 minutes on Mall Atrium with aTastyCookie, guyguy, sauce (PB!)
Azimuth achieved 22.5 minutes on Mall Atrium with guyguy, sauce, Wolf (PB!)
beatslaughter achieved 57.0 minutes on Boathouse with El Tounsie, guyguy, Kev (PB!)
beatslaughter achieved 29.0 minutes on Traincar with El Tounsie, guyguy, Kev (PB!)
Biggie MX achieved 32.5 minutes on Boathouse with Dipity, Licksore, notallthatfat (PB!)
Chewbacca achieved 16.0 minutes on Bridge (BH) with Cakes, Dipity, guyguy (PB!)
Dipity achieved 32.5 minutes on Boathouse with Biggie MX, Licksore, notallthatfat (PB!)
guyguy achieved 57.0 minutes on Boathouse with beatslaughter, El Tounsie, Kev (PB!)
KeairaPhoenix achieved 15.0 minutes on Generator Room with guyguy, Kev, phoenix (PB!)
Kev achieved 57.0 minutes on Boathouse with beatslaughter, El Tounsie, guyguy (PB!)
MudFlap achieved 24.5 minutes on Generator Room with Domino, trash, YouThere (PB!)
notallthatfat achieved 22.0 minutes on Generator Room with Igor, kamo, Uzbek (PB!)
notallthatfat achieved 16.0 minutes on Hospital with guyguy, now4ngel, Zombie Collector (PB!)
notallthatfat achieved 32.5 minutes on Boathouse with Biggie MX, Dipity, Licksore (PB!)
notallthatfat achieved 25.0 minutes on Terminal with ..., kamo, Uzbek (PB!)
OK achieved 25.0 minutes on Boathouse with ban(s) on record, guyguy, Licksore (PB!)
OK achieved 16.5 minutes on Crane with ban(s) on record, guyguy, Licksore (PB!)
trash achieved 24.5 minutes on Generator Room with Domino, MudFlap, YouThere (PB!)
Week of 2012-05-07 to 2012-05-13
Aaron achieved 27.5 minutes on Port (S) with Domino, MudFlap, sauce (PB!)
AnGeR achieved 25.0 minutes on Underground with Eph-Air, Jack has, Jumpin' Jack (PB!)
AnGeR achieved 70.5 minutes on Bridge with Eph-Air, Hitman, Optimus_sum (PB!)
aTastyCookie achieved 67.0 minutes on Generator Room with guyguy, MudFlap, Wolf (PB!)
Biggie MX achieved 32.0 minutes on Construction Site with Dipity, guyguy, notallthatfat (PB!)
Biggie MX achieved 29.5 minutes on Terminal with Azimuth, Dipity, Licksore (PB!)
Biggie MX achieved 25.5 minutes on Runway with guyguy, notallthatfat, OK (PB!)
Biggie MX achieved 49.0 minutes on Warehouse with guyguy, notallthatfat, OK (PB!)
Biggie MX achieved 34.0 minutes on Farmhouse with Dipity, guyguy, notallthatfat (PB!)
DaFp achieved 59.0 minutes on Generator Room with guyguy, Licksore, WaRLo (PB!)
